"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1D_T2M_X",1757,1920-03-26,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-27,17.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-28,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-29,14.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-30,10.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-03-31,11.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-01,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-02,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-03,11.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-04,15.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-05,10.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-06,11.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-07,10.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-08,12.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-09,17.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-10,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-11,13.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-12,13,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-13,16.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-14,16.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-15,17.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-16,18.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-17,17.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-18,17.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-19,13.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-20,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-21,12.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-22,10.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-23,9.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-24,15.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-25,15.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-26,13.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-27,9.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-28,10.7,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-29,11.4,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-04-30,12.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-01,10.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-02,16.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-03,18.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-04,17.3,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-05,11.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-06,11.6,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-07,14,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-08,13.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-09,15,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-10,12.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-11,14,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-12,18.5,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-13,23.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-14,16.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-15,11.8,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-16,15.1,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-17,19.9,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-18,22.2,0,1
"OBS_DEU_P1D_T2M_X",1757,1920-05-19,17.3,0,1
